bbl,exemptions,registered_stabilized_apts,pluto_apts,estimated_gross_income,estimated_expenses
2038200077,421a (25 yr not cap,,3,,
2038220015,421a (25 yr not cap,,3,,
2038220016,421a (25 yr not cap,,3,,
2038280008,421a (15 yr not cap),,3,,
2038280009,421a (15 yr not cap),,3,,
2038280010,421a (15 yr not cap),,3,,
2038280012,421a (15 yr not cap),,3,,
2039760042,421a (25 yr not cap,,3,,
2039760044,421a (25 yr not cap,,3,,
2039780021,421a (25 yr not cap,,3,,
2039780022,421a (25 yr not cap,,3,,
2039780023,421a (25 yr not cap,,3,,
2039800033,421a (25 yr not cap,,3,,
2039800034,421a (25 yr not cap,,3,,
2039800035,421a (25 yr not cap,,3,,
2039800132,421a (25 yr not cap,,3,,
2039800133,421a (25 yr not cap,,3,,
2039800134,421a (25 yr not cap,,3,,
2039800135,421a (25 yr not cap,,3,,
2039800137,421a (25 yr not cap,,3,,
2039800138,421a (25 yr not cap,,3,,
2039910048,421a (25 yr not cap,,3,,
2039940022,421a (25 yr not cap,,3,,
2039940024,421a (25 yr not cap,,3,,
2039970013,421a (25 yr not cap,,3,,
2040170018,421a (25 yr not cap,,3,,
2040170020,421a (25 yr not cap,,3,,
2040170022,421a (25 yr not cap,,3,,
2040230021,421a (25 yr not cap,,3,,
2040230141,421a (15 yr not cap),,3,,
2040230142,421a (15 yr not cap),,3,,
2040230143,421a (15 yr not cap),,3,,
2040230144,421a (15 yr not cap),,3,,
